Date,Income,Expense
2025-07-28,1306081,581047
2025-07-29,2183237,976435
2025-07-30,1758986,685357
2025-07-31,1310078,467985
2025-08-01,1222671,381357
2025-08-02,1251663,516635
2025-08-03,2264284,876156
2025-08-04,1511955,427162
2025-08-05,2382459,1029664
2025-08-06,1312547,544060
2025-08-07,2110681,928615
2025-08-08,1342483,530473
2025-08-09,1858271,692546
2025-08-10,1414835,472057
2025-08-11,1601896,699300
2025-08-12,1284896,543784
2025-08-13,1677095,434440
2025-08-14,1271295,324527
2025-08-15,1943974,632360
2025-08-16,2087121,860124
2025-08-17,2256731,1009786
2025-08-18,2025816,567397
2025-08-19,1574705,580792
2025-08-20,1754594,572310
2025-08-21,1347718,598363
2025-08-22,1845263,772101
2025-08-23,2208239,922305
2025-08-24,1307512,449442
2025-08-25,1347443,448649
2025-08-26,1573616,479451
2025-08-27,1857409,485294
2025-08-28,1886976,798086
2025-08-29,1575037,649829
2025-08-30,2244107,1009721
2025-08-31,2007364,901963
2025-09-01,1317796,475838
2025-09-02,2441082,985702
2025-09-03,2190198,961394
2025-09-04,1898376,797184
2025-09-05,1469544,440083
2025-09-06,1580002,537372
2025-09-07,1898002,523529
2025-09-08,1790978,789481
2025-09-09,2107317,782309
2025-09-10,1588215,469680
2025-09-11,1521184,584652
2025-09-12,1868234,698020
2025-09-13,1578480,507690
2025-09-14,1232711,336174
2025-09-15,1991971,765543
2025-09-16,1701157,602314
2025-09-17,1384423,559948
2025-09-18,1716349,607643
2025-09-19,2112495,888169
2025-09-20,2024792,729697
2025-09-21,1333272,482894
2025-09-22,1967836,836981
2025-09-23,2186001,722903
2025-09-24,1902335,526572
2025-09-25,2007789,513505
2025-09-26,2326081,932822
2025-09-27,1202869,449947
2025-09-28,1981474,774391
2025-09-29,1654351,484051
2025-09-30,1836584,509237
2025-10-01,1818467,459906
2025-10-02,2338848,748706
2025-10-03,1238467,455735
2025-10-04,2236685,734636
2025-10-05,2077844,701261
2025-10-06,1680047,723817
2025-10-07,2307447,737577
2025-10-08,2139903,754953
2025-10-09,1328391,540297
2025-10-10,1639430,539878
2025-10-11,2217026,830092
2025-10-12,1456687,615410
2025-10-13,1307450,575152
2025-10-14,1371890,383326
2025-10-15,1638741,713372
2025-10-16,1481974,516354
2025-10-17,1316381,397084
2025-10-18,1334508,456171
2025-10-19,2399386,1070141
2025-10-20,2040477,711154
2025-10-21,1560032,492580
2025-10-22,2246811,846329
2025-10-23,2079611,619784
2025-10-24,2420412,641827
2025-10-25,1929903,532220
2025-10-26,1245714,343330
2025-10-27,2174339,609642
2025-10-28,1830271,508386
2025-10-29,1324123,500750
2025-10-30,2136093,611725
2025-10-31,2331565,744080
2025-11-01,2029957,871577
2025-11-02,1378274,475218
2025-11-03,1887995,724067
2025-11-04,1611927,458535
2025-11-05,1989852,573988
2025-11-06,1331373,343725
2025-11-07,1315294,373263
2025-11-08,2235362,683390
2025-11-09,1848307,527510
2025-11-10,1265726,338886
2025-11-11,1341564,367759
2025-11-12,1468246,502368
2025-11-13,1318015,383893
2025-11-14,1454079,469455
2025-11-15,1750929,614021
2025-11-16,1889944,733447
2025-11-17,1888105,486871
2025-11-18,1713758,702438
2025-11-19,2183609,820120
2025-11-20,2217703,590689
2025-11-21,1645101,698700
2025-11-22,1236631,536913
2025-11-23,2321567,608751
2025-11-24,2252590,687885
2025-11-25,2266646,932136
2025-11-26,2305534,921411
2025-11-27,2330650,668673
2025-11-28,2424665,707686
2025-11-29,1397392,452886
2025-11-30,1358823,471381
2025-12-01,2223904,830963
2025-12-02,1698863,550062
2025-12-03,1567654,536932
2025-12-04,1779036,710714
2025-12-05,1730089,445215
2025-12-06,2398838,720820
2025-12-07,1435362,563623
2025-12-08,1997079,856829
2025-12-09,1864076,656780
2025-12-10,1419963,506107
2025-12-11,1680761,456216
2025-12-12,2497286,847784
2025-12-13,1420984,506614
2025-12-14,1464512,437148
2025-12-15,1801863,547493
2025-12-16,2486125,809126
2025-12-17,1648982,418864
2025-12-18,2372622,745989
2025-12-19,1606619,469598
2025-12-20,2280673,719551
2025-12-21,2196161,601643
2025-12-22,1866326,798984
2025-12-23,1849150,681815
2025-12-24,2478805,956373
2025-12-25,1318834,537865
2025-12-26,2342424,819118
2025-12-27,2301497,615383
2025-12-28,1905086,680918
2025-12-29,1484821,545476
2025-12-30,1255609,501098
2025-12-31,1427897,480247
